f z1 z2
0 0 0
0.1 3.36218 2.44934
0.2 5.85986 4.26391
0.3 7.71786 5.63313
0.4 9.14006 6.70799
0.5 10.267 7.58338
0.6 11.1896 8.31797
0.7 11.9644 8.94809
0.8 12.6285 9.49784
0.9 13.2076 9.98477
1 13.721 10.4226
1.1 14.1842 10.8229
1.2 14.6101 11.1958
1.3 15.0116 11.5527
1.4 15.395 11.8979
1.5 15.7596 12.2299
1.6 16.1045 12.5466
1.7 16.4319 12.8495
1.8 16.7689 13.1672
1.9 17.0993 13.4808
2 17.3997 13.7651
