f z1 z2
0 0 0
0.1 3.35791 2.44788
0.2 5.82445 4.24307
0.3 7.64511 5.58745
0.4 9.03107 6.63593
0.5 10.1221 7.48287
0.6 11.0089 8.18743
0.7 11.7491 8.78728
0.8 12.3805 9.30753
0.9 12.9285 9.76551
1 13.4108 10.1736
1.1 13.8401 10.5409
1.2 14.2262 10.8747
1.3 14.5767 11.1805
1.4 14.8977 11.4631
1.5 15.1941 11.7261
1.6 15.4704 11.9733
1.7 15.7311 12.2085
1.8 15.9877 12.4433
1.9 16.1868 12.627
2 16.4147 12.8375
