f x y z
0 10 0 0
0.1 9.9176 0.501316 1.15221
0.2 9.71737 0.504517 2.12239
0.3 9.47063 0.508419 2.88466
0.4 9.21657 0.512325 3.4835
0.5 8.97087 0.515949 3.96347
0.6 8.73886 0.519197 4.35667
0.7 8.52181 0.522059 4.68507
0.8 8.31934 0.524554 4.96384
0.9 8.13051 0.526717 5.20375
1 7.95421 0.528583 5.41259
