f x y z
0 10 0 0
0.1 9.91313 0.500699 1.19895
0.2 9.6773 0.502555 2.29524
0.3 9.34748 0.505042 3.23272
0.4 8.97645 0.507676 4.00477
0.5 8.59989 0.510155 4.63139
0.6 8.23728 0.512338 5.13971
0.7 7.89753 0.514183 5.55484
0.8 7.58356 0.515701 5.89728
0.9 7.2953 0.516921 6.18288
1 7.03127 0.517881 6.42374
