f x y z
0 10 0 0
0.1 9.89647 0.499997 1.30968
0.2 9.61849 0.499986 2.49396
0.3 9.23657 0.499965 3.48861
0.4 8.81532 0.499936 4.29146
0.5 8.39578 0.499898 4.93063
0.6 7.99859 0.499853 5.44021
0.7 7.63191 0.499802 5.85011
0.8 7.29742 0.499744 6.18383
0.9 6.99376 0.49968 6.45904
1 6.71836 0.49961 6.68891
