f x y z
0 10 0 0
0.1 9.91229 0.500682 1.20232
0.2 9.67472 0.502492 2.29973
0.3 9.34357 0.504916 3.23585
0.4 8.97219 0.507488 4.00518
0.5 8.59612 0.509916 4.62878
0.6 8.23453 0.512065 5.13435
0.7 7.89603 0.513895 5.54721
0.8 7.58336 0.515414 5.88786
0.9 7.29633 0.516651 6.17212
1 7.03342 0.517639 6.41199
