x N0 N1 N2 
0 1 0 0 
0.0166667 0.9025 0.095 0.0025 
0.0333333 0.81 0.18 0.01 
0.05 0.7225 0.255 0.0225 
0.0666667 0.64 0.32 0.04 
0.0833333 0.5625 0.375 0.0625 
0.1 0.49 0.42 0.09 
0.116667 0.4225 0.455 0.1225 
0.133333 0.36 0.48 0.16 
0.15 0.3025 0.495 0.2025 
0.166667 0.25 0.5 0.25 
0.183333 0.2025 0.495 0.3025 
0.2 0.16 0.48 0.36 
0.216667 0.1225 0.455 0.4225 
0.233333 0.09 0.42 0.49 
0.25 0.0625 0.375 0.5625 
0.266667 0.04 0.32 0.64 
0.283333 0.0225 0.255 0.7225 
0.3 0.01 0.18 0.81 
0.316667 0.0025 0.095 0.9025 
0.333333 0 0 1 
