x N0 N1 N2 N3 N4 N5 N6
0.23 0 0.36125 0.6275 0.01125 0 0 0 
0.232 0 0.3528 0.6344 0.0128 0 0 0 
0.234 0 0.34445 0.6411 0.01445 0 0 0 
0.236 0 0.3362 0.6476 0.0162 0 0 0 
0.238 0 0.32805 0.6539 0.01805 0 0 0 
0.24 0 0.32 0.66 0.02 0 0 0 
0.242 0 0.31205 0.6659 0.02205 0 0 0 
0.244 0 0.3042 0.6716 0.0242 0 0 0 
0.246 0 0.29645 0.6771 0.02645 0 0 0 
0.248 0 0.2888 0.6824 0.0288 0 0 0 
0.25 0 0.28125 0.6875 0.03125 0 0 0 
0.252 0 0.2738 0.6924 0.0338 0 0 0 
0.254 0 0.26645 0.6971 0.03645 0 0 0 
0.256 0 0.2592 0.7016 0.0392 0 0 0 
0.258 0 0.25205 0.7059 0.04205 0 0 0 
0.26 0 0.245 0.71 0.045 0 0 0 
0.262 0 0.23805 0.7139 0.04805 0 0 0 
0.264 0 0.2312 0.7176 0.0512 0 0 0 
0.266 0 0.22445 0.7211 0.05445 0 0 0 
0.268 0 0.2178 0.7244 0.0578 0 0 0 
0.27 0 0.21125 0.7275 0.06125 0 0 0 
0.272 0 0.2048 0.7304 0.0648 0 0 0 
0.274 0 0.19845 0.7331 0.06845 0 0 0 
0.276 0 0.1922 0.7356 0.0722 0 0 0 
0.278 0 0.18605 0.7379 0.07605 0 0 0 
0.28 0 0.18 0.74 0.08 0 0 0 
0.282 0 0.17405 0.7419 0.08405 0 0 0 
0.284 0 0.1682 0.7436 0.0882 0 0 0 
0.286 0 0.16245 0.7451 0.09245 0 0 0 
0.288 0 0.1568 0.7464 0.0968 0 0 0 
0.29 0 0.15125 0.7475 0.10125 0 0 0 
0.292 0 0.1458 0.7484 0.1058 0 0 0 
0.294 0 0.14045 0.7491 0.11045 0 0 0 
0.296 0 0.1352 0.7496 0.1152 0 0 0 
0.298 0 0.13005 0.7499 0.12005 0 0 0 
0.3 0 0.125 0.75 0.125 0 0 0 
0.302 0 0.12005 0.7499 0.13005 0 0 0 
0.304 0 0.1152 0.7496 0.1352 0 0 0 
0.306 0 0.11045 0.7491 0.14045 0 0 0 
0.308 0 0.1058 0.7484 0.1458 0 0 0 
0.31 0 0.10125 0.7475 0.15125 0 0 0 
0.312 0 0.0968 0.7464 0.1568 0 0 0 
0.314 0 0.09245 0.7451 0.16245 0 0 0 
0.316 0 0.0882 0.7436 0.1682 0 0 0 
0.318 0 0.08405 0.7419 0.17405 0 0 0 
0.32 0 0.08 0.74 0.18 0 0 0 
0.322 0 0.07605 0.7379 0.18605 0 0 0 
0.324 0 0.0722 0.7356 0.1922 0 0 0 
0.326 0 0.06845 0.7331 0.19845 0 0 0 
0.328 0 0.0648 0.7304 0.2048 0 0 0 
0.33 0 0.06125 0.7275 0.21125 0 0 0 
0.332 0 0.0578 0.7244 0.2178 0 0 0 
0.334 0 0.05445 0.7211 0.22445 0 0 0 
0.336 0 0.0512 0.7176 0.2312 0 0 0 
0.338 0 0.04805 0.7139 0.23805 0 0 0 
0.34 0 0.045 0.71 0.245 0 0 0 
0.342 0 0.04205 0.7059 0.25205 0 0 0 
0.344 0 0.0392 0.7016 0.2592 0 0 0 
0.346 0 0.03645 0.6971 0.26645 0 0 0 
0.348 0 0.0338 0.6924 0.2738 0 0 0 
0.35 0 0.03125 0.6875 0.28125 0 0 0 
0.352 0 0.0288 0.6824 0.2888 0 0 0 
0.354 0 0.02645 0.6771 0.29645 0 0 0 
0.356 0 0.0242 0.6716 0.3042 0 0 0 
0.358 0 0.02205 0.6659 0.31205 0 0 0 
0.36 0 0.02 0.66 0.32 0 0 0 
0.362 0 0.01805 0.6539 0.32805 0 0 0 
0.364 0 0.0162 0.6476 0.3362 0 0 0 
0.366 0 0.01445 0.6411 0.34445 0 0 0 
0.368 0 0.0128 0.6344 0.3528 0 0 0 
0.37 0 0.01125 0.6275 0.36125 0 0 0 
0.372 0 0.0098 0.6204 0.3698 0 0 0 
0.374 0 0.00845 0.6131 0.37845 0 0 0 
0.376 0 0.0072 0.6056 0.3872 0 0 0 
0.378 0 0.00605 0.5979 0.39605 0 0 0 
0.38 0 0.005 0.59 0.405 0 0 0 
0.382 0 0.00405 0.5819 0.41405 0 0 0 
0.384 0 0.0032 0.5736 0.4232 0 0 0 
0.386 0 0.00245 0.5651 0.43245 0 0 0 
0.388 0 0.0018 0.5564 0.4418 0 0 0 
0.39 0 0.00125 0.5475 0.45125 0 0 0 
0.392 0 0.0008 0.5384 0.4608 0 0 0 
0.394 0 0.00045 0.5291 0.47045 0 0 0 
0.396 0 0.0002 0.5196 0.4802 0 0 0 
0.398 0 5e-05 0.5099 0.49005 0 0 0 
0.4 0 0 0.5 0.5 0 0 0 
0.402 0 0 0.49005 0.5099 5e-05 0 0 
0.404 0 0 0.4802 0.5196 0.0002 0 0 
0.406 0 0 0.47045 0.5291 0.00045 0 0 
0.408 0 0 0.4608 0.5384 0.0008 0 0 
0.41 0 0 0.45125 0.5475 0.00125 0 0 
0.412 0 0 0.4418 0.5564 0.0018 0 0 
0.414 0 0 0.43245 0.5651 0.00245 0 0 
0.416 0 0 0.4232 0.5736 0.0032 0 0 
0.418 0 0 0.41405 0.5819 0.00405 0 0 
0.42 0 0 0.405 0.59 0.005 0 0 
0.422 0 0 0.39605 0.5979 0.00605 0 0 
0.424 0 0 0.3872 0.6056 0.0072 0 0 
0.426 0 0 0.37845 0.6131 0.00845 0 0 
0.428 0 0 0.3698 0.6204 0.0098 0 0 
0.43 0 0 0.36125 0.6275 0.01125 0 0 
0.432 0 0 0.3528 0.6344 0.0128 0 0 
0.434 0 0 0.34445 0.6411 0.01445 0 0 
0.436 0 0 0.3362 0.6476 0.0162 0 0 
0.438 0 0 0.32805 0.6539 0.01805 0 0 
0.44 0 0 0.32 0.66 0.02 0 0 
0.442 0 0 0.31205 0.6659 0.02205 0 0 
0.444 0 0 0.3042 0.6716 0.0242 0 0 
0.446 0 0 0.29645 0.6771 0.02645 0 0 
0.448 0 0 0.2888 0.6824 0.0288 0 0 
0.45 0 0 0.28125 0.6875 0.03125 0 0 
0.452 0 0 0.2738 0.6924 0.0338 0 0 
0.454 0 0 0.26645 0.6971 0.03645 0 0 
0.456 0 0 0.2592 0.7016 0.0392 0 0 
0.458 0 0 0.25205 0.7059 0.04205 0 0 
0.46 0 0 0.245 0.71 0.045 0 0 
0.462 0 0 0.23805 0.7139 0.04805 0 0 
0.464 0 0 0.2312 0.7176 0.0512 0 0 
0.466 0 0 0.22445 0.7211 0.05445 0 0 
0.468 0 0 0.2178 0.7244 0.0578 0 0 
0.47 0 0 0.21125 0.7275 0.06125 0 0 
0.472 0 0 0.2048 0.7304 0.0648 0 0 
0.474 0 0 0.19845 0.7331 0.06845 0 0 
0.476 0 0 0.1922 0.7356 0.0722 0 0 
0.478 0 0 0.18605 0.7379 0.07605 0 0 
0.48 0 0 0.18 0.74 0.08 0 0 
0.482 0 0 0.17405 0.7419 0.08405 0 0 
0.484 0 0 0.1682 0.7436 0.0882 0 0 
0.486 0 0 0.16245 0.7451 0.09245 0 0 
0.488 0 0 0.1568 0.7464 0.0968 0 0 
0.49 0 0 0.15125 0.7475 0.10125 0 0 
0.492 0 0 0.1458 0.7484 0.1058 0 0 
0.494 0 0 0.14045 0.7491 0.11045 0 0 
0.496 0 0 0.1352 0.7496 0.1152 0 0 
0.498 0 0 0.13005 0.7499 0.12005 0 0 
0.5 0 0 0.125 0.75 0.125 0 0 
0.502 0 0 0.12005 0.7499 0.13005 0 0 
0.504 0 0 0.1152 0.7496 0.1352 0 0 
0.506 0 0 0.11045 0.7491 0.14045 0 0 
0.508 0 0 0.1058 0.7484 0.1458 0 0 
0.51 0 0 0.10125 0.7475 0.15125 0 0 
0.512 0 0 0.0968 0.7464 0.1568 0 0 
0.514 0 0 0.09245 0.7451 0.16245 0 0 
0.516 0 0 0.0882 0.7436 0.1682 0 0 
0.518 0 0 0.08405 0.7419 0.17405 0 0 
0.52 0 0 0.08 0.74 0.18 0 0 
0.522 0 0 0.07605 0.7379 0.18605 0 0 
0.524 0 0 0.0722 0.7356 0.1922 0 0 
0.526 0 0 0.06845 0.7331 0.19845 0 0 
0.528 0 0 0.0648 0.7304 0.2048 0 0 
0.53 0 0 0.06125 0.7275 0.21125 0 0 
0.532 0 0 0.0578 0.7244 0.2178 0 0 
0.534 0 0 0.05445 0.7211 0.22445 0 0 
0.536 0 0 0.0512 0.7176 0.2312 0 0 
0.538 0 0 0.04805 0.7139 0.23805 0 0 
0.54 0 0 0.045 0.71 0.245 0 0 
0.542 0 0 0.04205 0.7059 0.25205 0 0 
0.544 0 0 0.0392 0.7016 0.2592 0 0 
