x N0 N1 N2 
0 1 0 0 
0.0166667 0.9025 0.09625 0.00125 
0.0333333 0.81 0.185 0.005 
0.05 0.7225 0.26625 0.01125 
0.0666667 0.64 0.34 0.02 
0.0833333 0.5625 0.40625 0.03125 
0.1 0.49 0.465 0.045 
0.116667 0.4225 0.51625 0.06125 
0.133333 0.36 0.56 0.08 
0.15 0.3025 0.59625 0.10125 
0.166667 0.25 0.625 0.125 
0.183333 0.2025 0.64625 0.15125 
0.2 0.16 0.66 0.18 
0.216667 0.1225 0.66625 0.21125 
0.233333 0.09 0.665 0.245 
0.25 0.0625 0.65625 0.28125 
0.266667 0.04 0.64 0.32 
0.283333 0.0225 0.61625 0.36125 
0.3 0.01 0.585 0.405 
0.316667 0.0025 0.54625 0.45125 
0.333333 0 0.5 0.5 
