x N3 N4 N5 
0.333333 0.5 0.5 0 
0.35 0.45125 0.5475 0.00125 
0.366667 0.405 0.59 0.005 
0.383333 0.36125 0.6275 0.01125 
0.4 0.32 0.66 0.02 
0.416667 0.28125 0.6875 0.03125 
0.433333 0.245 0.71 0.045 
0.45 0.21125 0.7275 0.06125 
0.466667 0.18 0.74 0.08 
0.483333 0.15125 0.7475 0.10125 
0.5 0.125 0.75 0.125 
0.516667 0.10125 0.7475 0.15125 
0.533333 0.08 0.74 0.18 
0.55 0.06125 0.7275 0.21125 
0.566667 0.045 0.71 0.245 
0.583333 0.03125 0.6875 0.28125 
0.6 0.02 0.66 0.32 
0.616667 0.01125 0.6275 0.36125 
0.633333 0.005 0.59 0.405 
0.65 0.00125 0.5475 0.45125 
0.666667 0 0.5 0.5 
