x N6 N7 N8 
0.666667 1 0 0 
0.683333 0.9025 0.095 0.0025 
0.7 0.81 0.18 0.01 
0.716667 0.7225 0.255 0.0225 
0.733333 0.64 0.32 0.04 
0.75 0.5625 0.375 0.0625 
0.766667 0.49 0.42 0.09 
0.783333 0.4225 0.455 0.1225 
0.8 0.36 0.48 0.16 
0.816667 0.3025 0.495 0.2025 
0.833333 0.25 0.5 0.25 
0.85 0.2025 0.495 0.3025 
0.866667 0.16 0.48 0.36 
0.883333 0.1225 0.455 0.4225 
0.9 0.09 0.42 0.49 
0.916667 0.0625 0.375 0.5625 
0.933333 0.04 0.32 0.64 
0.95 0.0225 0.255 0.7225 
0.966667 0.01 0.18 0.81 
0.983333 0.0025 0.095 0.9025 
1 0 0 1 
