x N1 N2 N3 N4 N5 N6 N7
0.71 0.101838 -0.220878 0.324092 -0.692908 1.94384 -0.863413 0.341671 
0.72 0.105916 -0.229678 0.336753 -0.714537 1.88238 -0.708341 0.256334 
0.73 0.107183 -0.232389 0.340529 -0.718232 1.79448 -0.524617 0.156486 
0.74 0.105638 -0.229011 0.33542 -0.703996 1.68016 -0.312242 0.0421284 
0.75 0.101282 -0.219545 0.321426 -0.671826 1.53939 -0.0712159 -0.0867401 
0.76 0.0941148 -0.203989 0.298548 -0.621725 1.3722 0.198462 -0.230119 
0.77 0.0841362 -0.182345 0.266784 -0.55369 1.17857 0.496791 -0.388009 
0.78 0.0713461 -0.154613 0.226135 -0.467724 0.958503 0.823772 -0.560409 
0.79 0.0557447 -0.120791 0.176602 -0.363824 0.712006 1.1794 -0.747319 
0.8 0.0373319 -0.0808808 0.118183 -0.241993 0.439074 1.56369 -0.948741 
0.81 0.0185965 -0.0402738 0.0587584 -0.118361 0.168981 1.93087 -1.12792 
0.82 0.00202732 -0.00436205 0.00620649 -0.00906267 -0.0690024 2.23519 -1.24811 
0.83 -0.0123756 0.0268543 -0.0394727 0.0859025 -0.274877 2.47666 -1.30931 
0.84 -0.0246124 0.0533754 -0.078279 0.166535 -0.448641 2.65527 -1.31152 
0.85 -0.0346829 0.0752011 -0.110213 0.232833 -0.590296 2.77102 -1.25474 
0.86 -0.0425872 0.0923315 -0.135273 0.284799 -0.699842 2.82392 -1.13897 
0.87 -0.0483253 0.104767 -0.153461 0.322432 -0.777278 2.81396 -0.964203 
0.88 -0.0518972 0.112506 -0.164777 0.345731 -0.822604 2.74114 -0.730449 
0.89 -0.0533029 0.115551 -0.169219 0.354697 -0.835821 2.60547 -0.437704 
0.9 -0.0525424 0.1139 -0.166789 0.34933 -0.816928 2.40694 -0.0859686 
0.91 -0.0496157 0.107553 -0.157486 0.32963 -0.765926 2.14555 0.324758 
0.92 -0.0445227 0.0965118 -0.14131 0.295597 -0.682814 1.8213 0.794475 
0.93 -0.0372635 0.0807749 -0.118261 0.247231 -0.567593 1.4342 1.32318 
0.94 -0.0278382 0.0603426 -0.08834 0.184531 -0.420262 0.984242 1.91088 
0.95 -0.0162466 0.035215 -0.0515458 0.107499 -0.240822 0.471427 2.55757 
0.96 -0.00248879 0.00539205 -0.00787888 0.0161328 -0.0292716 -0.104246 3.26325 
0.97 0.0134352 -0.0291262 0.0426609 -0.0895661 0.214388 -0.742775 4.02792 
0.98 0.0315254 -0.0683398 0.100073 -0.209598 0.490157 -1.44416 4.85158 
0.99 0.0517819 -0.112249 0.164359 -0.343964 0.798036 -2.2084 5.73423 
